,text,ori_tweet
1869,done real fan trump ,Done by a real fan! #TRUMPhttps://www.youtube.com/watch?v=SGbI-14neOs …
1870,raleigh north carolina fantastic last night incredible spirit want make america great ,"Raleigh, North Carolina, was fantastic last night. Such incredible spirit. We all want to, and will, MAKE AMERICA GREAT AGAIN!"
1871,americanaspie diamondandsilk awesome realdonaldtrump rally exciting see two truly fantastic women ,"""@AmericanAsPie: @DiamondandSilk you were awesome at the @realDonaldTrump rally. It was exciting to see you."" Two truly fantastic women!"
1872,ben techpro donald trump opens massive lead national poll makeamericagreatagain wakeupamerica gop ,"""@ben_techpro: Donald Trump opens up 'massive' lead in national poll http://ln.is/com/ape7C   #makeamericagreatagain #wakeupamerica @GOP"""
1873,bjmgraphics markhalperin trump understands freedom needs defending full heart diligence fight america ,"""@bjmgraphics:  @MarkHalperin Trump understands freedom needs defending with full heart and diligence. He will fight for America!"
1874,great night raleigh north carolina thank ,"A great night in Raleigh, North Carolina! THANK YOU! #Trump2016pic.twitter.com/oouSXAe267"
1875,good news disloyal macys stock total free fall shop christmas ,"Good news, disloyal @Macys stock is in a total free fall. Don't shop there for Christmas! https://www.facebook.com/DonaldTrump/posts/10156377233170725:0 …pic.twitter.com/vT3uGjiZ9B"
1876,horrible shooting took place san bernardino absolute act terror many people knew report ,The horrible shooting that took place in San Bernardino was an absolute act of terror that many people knew about. Why didn’t they report?
1877,virtually incompetent republican strategist failed career cheri jacobus incoherent anger puppets died ,"The virtually incompetent Republican Strategist who has had a failed career, Cheri Jacobus, is incoherent with anger that her puppets died!"
1878,cnn cnnpolitics please thank alisyn camerota david chalian john king professional reporting new cnn poll ,".@CNN & @CNNPolitics Please thank Alisyn Camerota, David Chalian and John King for the very professional reporting of the new CNN Poll."
1879,cnn poll came amazing numbers want make america great trump 36 20 point lead 2nd place thanks ,".@CNN Poll just came out, amazing numbers for those who want to MAKE AMERICA GREAT AGAIN! TRUMP 36%, a 20 point lead over 2nd place. Thanks."
1880,russonpolitics gop establishment republican voters think donald trump would electable nominee ,"""@RussOnPolitics: The GOP establishment: Republican voters think Donald Trump would be most electable nominee. http://ow.ly/VsHoJ """
1881,aews another clip seems vindicate donald ,"""@aews: Another clip that seems to vindicate The Donald... http://fb.me/3tejxFow5 """
1882,kacee50 realdonaldtrump take 8 years hilary 8 years establishment gop need trump ,"""@Kacee50: @realDonaldTrump We can't take 8 years of Hilary or 8 years of establishment GOP!!! We need Trump!!"""
1883,garyt212 realdonaldtrump america needs real leader america needs donald trump president ,"""@GaryT212:  @realDonaldTrump America needs a real leader, America needs Donald Trump for President!"""
1884,invite join campaign make america great sign volunteer ,I invite you to join my campaign to Make America Great Again! Sign up to Volunteer! https://www.donaldjtrump.com/volunteer 
1885,great see construction old post office penn ave going fast budget ahead schedule ,"Great to see the construction of the Old Post Office on Penn Ave. Going fast - under budget, ahead of schedule!"
1886,recently reported 3rd rate losing politico foil clintons questions given clinton advance credibility ,It was recently reported that 3rd rate $ losing @Politico is a foil for the Clintons. Questions given to Clinton in advance. No credibility.
1887,thank much wonderful article robert ,"Thank you so much for the wonderful article, Robert Davi.http://www.breitbart.com/big-hollywood/2015/11/30/robert-davi-donald-trump-is-the-john-wayne-of-politics/ …"
1888,thank vote 2016 ,Thank you! Vote in 2016! #MakeAmericaGreatAgainpic.twitter.com/XFD3h2N50J
1889,thank ,Thank you! #Trump2016pic.twitter.com/tcyun7Mffy
1890,loved manassas va last night incredible spirit dc speech visit old post office construction ,"Loved being in Manassas, VA last night. Such incredible spirit! Now in DC for a speech, will then visit Old Post Office under construction."
1891,derektheeight interesting see many times jersey rooftop brought video miraculously found ,"""@derektheeight: Will be interesting to see how many times Jersey rooftop will be brought up now that video has miraculously been found..."""
1892,presidential candidate instructed long time doctor issue within two weeks full medical report show perfection ,"As a presidential candidate, I have instructed my long-time doctor to issue, within two weeks, a full medical report-it will show perfection"
1893,consider health stamina strength one greatest world watched many years testify great genes ,"I consider my health, stamina and strength one of my greatest assets.The world has watched me for many years and can so testify-great genes!"
1894,co cbs reports swarms celebrators roofs jersey 9 11 2001 video ,"""@Co: CBS reports ""swarms"" of celebrators were on roofs in Jersey on 9/11/2001 VIDEO: http://www.breitbart.com/big-journalism/2015/12/02/trump-100-vindicated-cbs-reports-swarms-on-roofs-celebrating-911/?utm_source=facebook&utm_medium=social … pic.twitter.com/C6nKmbQK8a"""
1895,iliveamongyou chucktodd apologize hypocrite jersey city 9 11 celebration report makeamericagreatagain ,"""@iliveamongyou: @chucktodd APOLOGIZE HYPOCRITE Jersey City 9/11 Celebration Report  #MakeAmericaGreatAgain https://www.youtube.com/watch?v=3auKMHkZJnQ … …"""
1896,congratulations great job done police law enforcement california shootings give credit credit due ,Congratulations on the GREAT job done by POLICE and law enforcement on the California shootings. Give credit where credit is due.
1897,heading manassas virginia rally moment silence victims california shootings sad ,"Heading to Manassas, Virginia, for a rally. Will have a moment of silence for the victims of the California shootings. So sad!"
1898,teamtrump police law enforcement seem killed one california shooters shootout others go police ,#TeamTrump. Police and law enforcement seem to have killed one of the California shooters and are in a shootout with the others. Go police
1899,blacks4trump16 legal illegal immigration drive american wages donaldtrump fix anncoulter trump2016 teamtrump ,"""@Blacks4Trump16: Legal & illegal immigration drive down American wages. Only DonaldTrump can fix this. @AnnCoulter #Trump2016 #TeamTrump"""
1900,bossytxmar55 trump win counting supporters vote celebrate tailgate style parties teamtrump ,"""@BOSSYtxmar55: #Trump WILL WIN! He's counting on ALL supporters TO VOTE Then ""WE"" CELEBRATE WITH TAILGATE STYLE PARTIES! #TeamTrump"
1901,trumphiant2016 country frayed inept politicians dc need vote smarter informed teamtrump ,"""@TRUMPHIANT2016: This country is being frayed by the inept politicians in DC. We need to vote smarter and be more informed.  #TeamTrump"""
1902,danscavino bruce levell former gop chairman gwinnett county ga endorsed realdonaldtrump today ,"""@DanScavino: Bruce LeVell, former GOP Chairman of Gwinnett County (GA) endorsed @realDonaldTrump today. #TeamTrumppic.twitter.com/OY4Uo3tcJu"
1903,california shooting looks bad good luck law enforcement god bless police appreciated ,California shooting looks very bad. Good luck to law enforcement and God bless. This is when our police are so appreciated!
1904,thank cbs breitbart total vindication mainstream media apologize many many witnesses trump2016 ,"Thank you CBS & Breitbart-total vindication! Will the mainstream media apologize? Many, many witnesses. 
#Trump2016http://www.breitbart.com/big-journalism/2015/12/02/trump-100-vindicated-cbs-reports-swarms-on-roofs-celebrating-911/ …"
1905,beat hillary new foxnews poll head head strength stamina needed make america great ,"I beat Hillary in the new @FoxNews Poll head to head.  SHE HAS NO STRENGTH OR STAMINA, both of which are needed to MAKE AMERICA GREAT AGAIN!"
1906,truth continues come 14 years truth many media want tell trump2016 ,The truth continues to come out after 14 years. A truth that many in the media did not want to tell. #Trump2016http://www.breitbart.com/big-journalism/2015/12/01/7-pieces-of-documentation-that-vindicate-trumps-claim-of-911-muslim-celebrations/ …
1907,reversingasd cnn cnnopinion realdonaldtrump stupid opinion trump winning leave dummy ,"""@ReversingASD: @CNN @CNNOpinion @realDonaldTrump Stupid ""opinion""! #Trump is Winning! why will he leave? dummy! pic.twitter.com/2gmWapqqOE"""
1908,dollfinish agseliza citizens4trump realdonaldtrump howard stern caller day 9 11 ,"""@Dollfinish: @AgsEliza @Citizens4Trump @realDonaldTrump ***Howard Stern Caller day after 9/11 https://www.youtube.com/attribution_link?a=f1yVJj7Igbk&u=%2Fwatch%3Fv%3Dw8KdmyCh7z8%26feature%3Dplayer_embedded … … …"""
1909,arrived new hampshire another packed venue fun ,Just arrived in New Hampshire. Another packed venue! Will be fun.
1910,would think paper like washington post would fair objective record almost polls showed debates ,"You would think a paper like the Washington Post would be fair and objective. For the record, almost all polls showed I won all debates."
1911,highly untalented wash post blogger jennifer rubin real dummy never writes fairly wash post low iq people ,"Highly untalented Wash Post blogger, Jennifer Rubin, a real dummy, never writes fairly about me. Why does Wash Post have low IQ people?"
1912,obama thinking ,What is Obama thinking? https://www.instagram.com/p/-wWVZemhfC/ 
1913,curtis sliwa tv commentary 9 13 2001 good job curtis please send apologies ,Curtis Sliwa - doing tv commentary on 9/13/2001. Good job Curtis. Please send your apologies to @realDonaldTrump.pic.twitter.com/g07VZmNmAW
1914,look editorial sent ny post 9 14 01 3 days collapse wtc apologies ,Look at the editorial I was just sent from the NY Post on 9/14/01 - 3 days after collapse of WTC. Any apologies?pic.twitter.com/b6DKEOk8Px
1915,jamiel shaw incredible foxandfriends morning son viciously killed illegal immigrant proud pop ,"Jamiel Shaw was incredible on @foxandfriends this morning. His son, who was viciously killed by an illegal immigrant, is so proud of pop!"
1916,want thank friends macon special evening great reception crowd incredible people ,I want to thank all my friends in Macon for the special evening and great reception. What a crowd of incredible people!
1917,order signed copy crippled america opportunity submit question live streaming book signing 12 3 ,Order signed copy of CRIPPLED AMERICA & have opportunity to submit question for my live streaming book signing 12/3http://livesigning.com/trump/welcome 
1918,need great leader ,We need a great leader- now! https://www.instagram.com/p/-uAgXOGhV1/ 
1919,better vigilant careful ,"We better be vigilant, careful, and strong.https://m.youtube.com/watch?v=W5BtQgTGOI4 …"
1920,republican establishment self preservation concerned w high poll concerned dems beat hillary heads ,"The Republican establishment, out of self preservation, is concerned w/ my high poll #'s. More concerned are Dems—I beat Hillary heads up!"
1921,chris christie running state nj deeply troubled spending time nh new jerseyans happy ,"How is Chris Christie running the state of NJ, which is deeply troubled, when he is spending all of his time in NH? New Jerseyans not happy!"
1922,wow msm really going 12 000 sarasota love fest hardly mention one negativity want negatives ,"Wow, the MSM is really going after me. 12,000 in Sarasota, a love fest, hardly a mention. Only one negativity - they only want negatives!"
1923,wzpd8z mr trump chuck todd moron kinds youtube videos showing muslims celebrating 911 would show ads ,"""@wzpd8z: Mr. Trump, Chuck Todd is a moron, all kinds of youtube videos showing muslims celebrating 911. I would show it on your ads."""
1924,cnn get real political talent rather political commentators like errol louis clue others bad also ,"When will @CNN get some real political talent rather than political commentators like Errol Louis, who doesn't have a clue! Others bad also."
1925,beckyomz juvenile thehill could use new era greatness america needs return place world leading ,"""@BeckyOmz: @JuvenIle  @thehill We could use a new era of greatness! America needs to return to its place in the world--leading!"""
1926,lee richter trump make america safe make america legal make america great trump2016 usa ,"""@lee_richter:  TRUMP will make America SAFE again...He will make America LEGAL again...He will make America GREAT again! #Trump2016 USA"""
1927,antonio92692 cnnpolitics realdonaldtrump trump smartest best man save america thank ,"""@Antonio92692: @CNNPolitics @realDonaldTrump TRUMP IS THE SMARTEST AND BEST MAN TO SAVE AMERICA. pic.twitter.com/6pf1a0yDRa""  Thank you!"
1928,boogiefinger realdonaldtrump meetthepress chucktodd chuck know 100 000 x 2 200 000 ,"""@boogiefinger: @realDonaldTrump @meetthepress @chucktodd Chuck doesn't know that 100,000 x 2 = 200,000 pic.twitter.com/WZI8EbqZTi"""
1929,meeting monday trump tower large group african american pastors many know wonderful people press event ,Will be meeting on Monday at Trump Tower with a large group of African American Pastors. Many I know-wonderful people! Not a press event.
1930,watched cookie roberts abc predictions wrong long lost credibility another sad case ,Just watched Cookie Roberts on @ABC. Her predictions have been so wrong for so long that she has lost all credibility. Just another sad case
1931,thatx209xguy realdonaldtrump dailycaller trump last hope make america great trump2016 true ,"""@thatx209xguy: @realDonaldTrump @DailyCaller Trump is our last hope to make America great again. #Trump2016"" So true!"
1932,allibiis realdonaldtrump artpar17 cnn story bogus donald trump diverse group voters supporters gop field ,"""@Allibiis: @realDonaldTrump @ArtPar17 @CNN story is bogus. Donald Trump has the most diverse group of voters/supporters in the GOP field."""
1933,cnn better reporting wants keep totally one sided biased becoming boring ,.@CNN has to do better reporting if it wants to keep up with the crowd.So totally one-sided and biased against me that it is becoming boring
1934,sarasota florida rally today amazing 12 000 people chanting love country going happen movement ,"The Sarasota, Florida, rally today was amazing. 12,000 people chanting their love for our country. It's going to happen, this is a MOVEMENT!"
1935,jameslauer6 david360nc azblonde2015 time 4 christians get vote big time save christianity 4 trump ,"""@Jameslauer6: @David360NC @azblonde2015 NOW'S THE TIME 4 CHRISTIANS TO GET OUT THE VOTE BIG TIME TO SAVE CHRISTIANITY ONCE & 4 ALL. TRUMP"""
1936,sarasota unbelievable success expected 5 000 record 12 000 showed great love air ,"Sarasota was an unbelievable success. We expected 5,000, a record, but 12,000 showed up! Great love in the air!pic.twitter.com/utmlCpGNGu"
1937,boarded helicopter sarasota earlier landing soon see ,We boarded the helicopter for Sarasota earlier & will be landing soon! See you there. #Trump2016pic.twitter.com/x4RbbKXHCu
1938,virtually one spent money helping american people disabilities discuss today speech sarasota ,Virtually no-one has spent more money in helping the  American people with disabilities than me. Will discuss today at my speech in Sarasota
1939,reporter pulled back 14 year old never retracted story fun know looks like know ,The reporter who pulled-back from his 14 year old never retracted story is having fun. I don't know what he looks like and don't know him!
1940,going sarasota florida today big rally amazing people one goal mind make america great ,"I will be going to Sarasota, Florida, today for a big rally with amazing people! I have one goal on mind: MAKE AMERICA GREAT AGAIN!"
1941,pollster trend national gop average 223 national polls 33 pollsters makeamericagreatagain ,"Pollster Trend 
National GOP Average
223 national polls & 33 pollsters.
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/mILAGwjvS2"
1942,margaretcrowth1 realdonaldtrump incompetence norm nytimes example need competent leader role model trump2016 ,"""@MargaretCrowth1: @realDonaldTrump Incompetence now the norm. NYTimes is an example. Need competent leader as role model. Trump2016"""
1943,vaughnvhalen donald trump rises 38 nationally ted cruz edges 2nd 12 ,"""@VaughnVhalen: Donald Trump Rises to 38% Nationally; Ted Cruz Edges into 2nd at 12%"
1944,marksimoneny great twitter quote donald trump never apologize fake controversies whipped perpetually offended media ,"""@MarkSimoneNY: Great twitter quote about Donald Trump: ""Never apologize for fake controversies whipped up by the perpetually offended media"
1945,beezakamrb realdonaldtrump shopping macys longer family christmas time tradition house great disloyal chain ,"""@BeezakaMrB: @realDonaldTrump Shopping @Macys is NO LONGER a family CHRISTMAS TIME tradition in my house."" Great, a very disloyal chain!"
1946,failing nytimes focus fair balanced reporting rather constant hit jobs yesterday 3 boring articles today2 ,"The failing @nytimes should focus on fair and balanced reporting rather than constant hit jobs on me. Yesterday 3 boring articles, today2!"
1947,know reporter nytimes looks like showing person groveling take back statement made long ago ,"I do not know the reporter for the @nytimes, or what he looks like. I was showing a person groveling to take back a statement made long ago!"
1948,great new poll numbers thank support ,Great new poll numbers! Thank you for your support! #Trump2016pic.twitter.com/vmrsOnsMRo
1949,happy thanksgiving great day look forward future make america great ,Happy Thanksgiving to all. Have a great day and look forward to the future. We will MAKE AMERICA GREAT AGAIN!
1950,numbers nytimes dismal especially advertising revenue big help needed fast great institution sad ,"The numbers at the @nytimes  are so dismal, especially advertising revenue, that big help will be needed fast. A once great institution-SAD!"
1951,since people nytimes made bad decisions last decade people care write incompetent ,"So, since the people at the @nytimes have made all bad decisions over the last decade, why do people care what they write. Incompetent!"
1952,dopes nytimes bought boston globe billion sold great old headquarters gave away dumb ,The dopes at the @nytimes bought the Boston Globe for $1.3 billion and sold it for $1.00. Their great old headquarters-gave it away! So dumb
1953,nytimes poorly run managed family members looking take control unfunded liabilities big trouble ,The @nytimes is so poorly run and managed that other family members are looking to take over control. With unfunded liabilities-big trouble!
1954,failing nytimes focused good reporting papers financial survival constant hits donald trump ,The failing @nytimes should be focused on good reporting and the papers financial survival and not with constant hits on Donald Trump!
1955,credible source 9 11 muslim celebrations fbi via wkrg ,"Credible Source on 9-11 Muslim Celebrations: FBI
http://wkrg.com/2015/11/25/credible-source-on-9-11-muslim-celebrations-fbi/ … via @WKRG"
1956,live new jersey realdonaldtrump right muslims celebrate 9 11 saw ,I LIVE IN NEW JERSEY & @realDonaldTrump IS RIGHT: MUSLIMS DID CELEBRATE ON 9/11 HERE! WE SAW IT!http://www.infowars.com/i-live-in-jersey-and-trump-is-right-muslims-did-celebrate-on-911-in-nj-we-saw-it/ …
1957,realdctaylor establishment afraid realdonaldtrump try business man may never want politician teamtrump ,"""@realdctaylor: The Establishment is afraid of @realDonaldTrump. Once we try a business man we may never want a politician again! #TeamTrump"
1958,thank continued support makeamericagreatagain ,"Thank you for your continued support!
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/SLo49cY9KB"
1959,would greta use karlrove election analyst made many mistakes still thinks romney establishment dope ,Why would @greta use @KarlRove as an election analyst when he has made so many mistakes. He still thinks Romney won. An establishment dope!
1960,myrtle beach south carolina makeamericagreatagain ,"Myrtle Beach, South Carolina 
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/JlY5sbumpY"
1961,wonderful evening south carolina big crowd amazing energy ,"A wonderful evening in South Carolina - big crowd, amazing energy!"
1962,new oann national poll released thank america ,New @OANN national poll released. Thank you America! #Trump2016pic.twitter.com/yopcngFzFv
1963,frank vandersloot getting agreeing back marco rubio last victim mitt romney see turned ,What is Frank VanderSloot getting for agreeing to back Marco Rubio? Last victim was Mitt Romney - see how that turned out.
1964,bradpaisley came see really nice talented ,.@BradPaisley came up to see me. A really nice and talented guy.pic.twitter.com/duJ7vXLGZw
1965,nick95b realdonaldtrump vote trump egop screw things vote republicans ,"""@Nick95B: @realDonaldTrump I'll only vote for TRUMP! If eGOP screw things up I won't vote for ANY republicans; ANYpic.twitter.com/mHyCIL9VpD"
1966,heading myrtle beach south carolina really big crowd much talk ,"Heading to Myrtle Beach, South Carolina. Really big crowd—so much to talk about!"
1967,republicans must stop relying losers like karlrove want start winning presidential elections tough get smart ,Republicans must stop relying on losers like @KarlRove if they want to start winning presidential elections. Be tough and get smart!
1968,left columbus rally 14 000 people far bigger crowd even expected unbelievable evening incredible spirit arena ,"Just left Columbus rally of 14,000 people --- a far bigger crowd than even I expected! Unbelievable evening, incredible spirit in the arena!"
1969,heading ohio really big crowd amazing people much talk ,Heading for Ohio - really big crowd of amazing people! Much to talk about!
1970,going ohio home one worst presidential candidates history kasich debate loves obamacare dummy ,"Going to Ohio, home of one of the worst presidential candidates in history--Kasich. Can't debate, loves #ObamaCare--dummy!"
1971,wsj reports gop getting ready treat unfairly big spending planned deal ,.@WSJ reports that @GOP getting ready to treat me unfairly—big spending planned against me. That wasn’t the deal!
1972,via washingtonpost 9 18 01 want apology many people tweeted right ,Via @washingtonpost 9/18/01. I want an apology! Many people have tweeted that I am right! http://wapo.st/1R1siFz pic.twitter.com/wrDEhXJlvR
1973,christmas shopping remember disloyal macys subject illegal immigration boycottmacys dumpmacys ,When you do your Christmas shopping remember how disloyal @Macys was to the subject of illegal immigration. #BoycottMacys #DumpMacys
1974,hillary nothing laugh ,"Hillary, there is nothing to laugh about- https://instagram.com/p/-bz5HWGhXZ/ "
1975,going columbus ohio today tremendous rally thousands silent majority longer silent ,"Going to Columbus, Ohio today for a tremendous rally of thousands. The silent majority is no longer silent!"
1976,ap one worst reporters business jeffhorwitz know truth hit face ,.@AP has one of the worst reporters in the business -- @JeffHorwitz wouldn’t know the truth if it hit him in the face.
1977,ap continues extremely dishonest reporting always looking hit bring back relevancy working ,.@AP continues to do extremely dishonest reporting. Always looking for a hit to bring them back into relevancy—ain’t working!
1978,hillary clinton weak illegal immigration among many things strong corruption corruption best ,"Hillary Clinton is weak on illegal immigration, among many other things. She is strong on corruption - corruption is what she's best at!"
1979,thefix paris attacks made donald trump stronger interesting ,"""@TheFix: The Paris attacks have only made Donald Trump stronger http://wpo.st/yC6r0  pic.twitter.com/Y3SevhrRp1"" Very interesting!"
1980,drewtheg trump epitome integrity good spirit forthright honesty pull punches call spade spade diggin ,"""@drewtheg:  Trump is the epitome of integrity, good spirit, forthright honesty... you pull no punches and call a spade a spade. diggin it!"""
1981,great poll numbers thank makeamericagreatagain ,"Great poll numbers! Thank you!
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/51CRR6m5Eg"
1982,better get tough radical islamic terrorists get tough life safety wonderful country jeopardy ,"We better get tough with RADICAL ISLAMIC TERRORISTS, and get tough now, or the life and safety of our wonderful country will be in jeopardy!"
1983,13 syrian refugees caught trying get southern border many made need wall ,13 Syrian refugees were caught trying to get into the U.S. through the Southern Border. How many made it?  WE NEED THE WALL!
1984,great poll numbers beating hillary clinton one one thank ,Great poll numbers all over and beating Hillary Clinton one on one. Thank you!
1985,gstephanopoulos announced leading big new abc poll shown week 9 00 show ,.@GStephanopoulos just announced that I am leading  BIG in the new @ABC Poll which will be shown on This Week at 9:00 A.M. I will be on show
1986,find reuters far professional operation ap ,I find that @Reuters is a far more professional operation than @AP.
1987,ccolvinj ap one truly bad reporters working organization totally lost way stories fictional garbage ,.ccolvinj @AP is one of the truly bad reporters---working for an organization that has totally lost its way. Stories are fictional garbage.
1988,iliveamongyou urgent gop effort destroy front runner makeamericagreatagain hit back ,"""@iliveamongyou: URGENT “@GOP…in an effort to destroy their own front runner.” #MakeAmericaGreatAgain http://www.breitbart.com/big-government/2015/11/20/keystone-cops-gop-consultant-class-heroes-publicly-panhandling-desperate-bid-derail-donald-trump/ …""  I HIT BACK!"
1989,2timeslucky steph93065 foxnews kimberly g hosted greta last nights told truth trump ,"""@2timeslucky: @steph93065 @FoxNews Kimberly G. hosted Greta last nights& told the TRUTH about Trump! http://insider.foxnews.com/2015/11/20/donald-trump-clarifies-he-wants-database-syrian-refugees-not-all-us-muslims …"""
1990,boreed615 donald trump retakes lead gop race ted cruz makes gains poll via aol ,"""@boreed615: Donald Trump retakes lead in GOP race; Ted Cruz makes gains: poll: http://aol.it/1QVK4Kd  # via AOL"""
1991,waynedupreeshow clear donald trump even talking muslim database ,"""@WayneDupreeShow: ""It’s clear that Donald Trump was NOT even talking about a Muslim Database!"" http://newsninja2012.com/snow-job-media-creates-trump-conspiracy-about-muslim-database/ …"""
1992,foxnation report donaldtrump heckler convicted attempting blow marine recruitment center ,"""@foxnation: Report: #DonaldTrump Heckler Convicted Of Attempting To Blow Up Marine Recruitment Center http://nation.foxnews.com/2015/11/21/report-trump-heckler-convicted-attempting-blow-marine-recruitment-center …"""
1993,politico palin 2016 think would come cruz trump getty ,"""@politico: Palin on 2016: ""I think it would come down to Cruz and Trump!  http://politi.co/1HeOudg  | Getty pic.twitter.com/y5wN0AhK0E"""
1994,thr trump wife children open gop candidate one else like ,"""@THR: Trump's Wife, Children Open Up About GOP Candidate: ""There’s No One Else Like Him"" http://thr.cm/P38I3g  pic.twitter.com/WXsq41nK17"""
1995,thank great afternoon birmingham alabama trump2016 ,"Thank you for a great afternoon Birmingham, Alabama! #Trump2016 #MakeAmericaGreatAgainpic.twitter.com/FrOkqCzBoD"
1996,rumor pataki kasich senator lindsey graham dropping race soon hope true easy beat ,"Rumor has it - Pataki, Kasich, & Senator Lindsey Graham are dropping out of the race very soon. Hope it's not true, they're so easy to beat!"
1997,nice media properly polices media thank ,So nice when media properly polices media. Thank you @BreitbartNews.http://www.breitbart.com/big-journalism/2015/11/21/muslim-registry-rope-me-hillary-haberman-lies-about-trump-on-nyt-front-page/ …
1998,woman got fired two days working scott walker wacko trying raise funds fight ,A woman who got fired after two days of working with Scott Walker - a wacko - now trying to raise funds to fight me.
1999,heading birmingham alabama massive crowd incredible people 12 noon wild ,"Heading to Birmingham, Alabama, and a massive crowd of incredible people! 12 noon - will be wild."
2000,show politicians act bobby jindal spent 1 000 register new hampshire dropped next day waste ,"To show you how politicians act, Bobby Jindal spent $1,000 to register in New Hampshire & dropped out the next day. Such a waste!"
2001,stuck worst mayor united states bad new york city survive ,"We're stuck with the worst mayor in the United States. Too bad, but New York City will survive!"
2002,people really liking new book crippled america check ,"People are really liking my new book, ""Crippled America."" Check it out!"
2003,jaazee1 cnn anchor shocked donaldtrump comments resonate gop base go apoplectic democrats ,"""@jaazee1: @CNN anchor's shocked that DonaldTrump's  comments resonate with GOP base will go apoplectic that he does with democrats too."
2004,thetylerjames9 realdonaldtrump cannot bought therefore cannot silenced ,"""@thetylerjames9: @realDonaldTrump cannot be bought! Therefore he cannot be silenced!"""
2005,join us 10pme abc2020 abc barbarajwalters meetthetrumps ,Join us at 10pmE on @ABC2020 @ABC with @BarbaraJWalters! #MeetTheTrumps #ABC2020pic.twitter.com/vMeLS00GnJ
2006,2timeslucky one take realdonaldtrump people win ,"""@2timeslucky:  No one can take @realDonaldTrump down because it is the WILL of the people for him to win!"
2007,mia liner gsrpygmies realdonaldtrump trump supporters loyal breed see truth trump fix mess ,"""@mia_liner: @GSRPygmies  @realDonaldTrump Trump supporters are a very loyal breed! We see the truth, only Trump can fix this mess we are in"
2008,looking forward watching legendary barbarajwalters interview family tonight abc 10 00 many things talk ,Looking forward to watching the legendary @BarbaraJWalters interview my family (and me) tonight on @ABC at 10:00. Many things to talk about!
2009,tune legendary barbarajwalters 10pme abc2020 tonight meetthetrumps full hour abc abc2020 ,"Tune into the legendary @BarbaraJWalters at 10pmE on
@ABC2020 tonight. #MeetTheTrumps for a full hour @ABC #ABC2020!pic.twitter.com/exF5aUhrEW"
2010,got back south carolina going alabama tomorrow ,Just got back from South Carolina. Going to Alabama tomorrow!
2011,hillaryclinton weak illegal immigration totally incompetent manager leader strength stamina potus ,.@HillaryClinton is weak on illegal immigration & totally incompetent as a manager and leader - no strength or stamina to be #POTUS!
2012,legendary barbarajwalters interviews family tonight 10 00 abc2020 miss ,The legendary @BarbaraJWalters interviews my family and me tonight at 10:00 on @ABC2020 . Don't miss it!pic.twitter.com/JHTF7f9aTo
2013,billdeblasio focus running nyc problems caused ineptitude focused ,".@BilldeBlasio should focus on running #NYC & all of the problems that he has caused with his ineptitude, & not be so focused on me!"
2014,believe worst mayor probably worst mayor history nyc billdeblasio called blow hard ,"Can you believe the worst Mayor in the U.S., & probably the worst Mayor in the history of #NYC, @BilldeBlasio, just called me a blow hard!"
2015,thank great afternoon south carolina see next tuesday makeamericagreatagain ,"Thank you for a great afternoon, South Carolina! See you next Tuesday! #MakeAmericaGreatAgain #Trump2016pic.twitter.com/kWWMlmy7gQ"
2016,suggest database reporter must defeat islamic terrorism surveillance including watch list protect america ,"I didn't suggest a database-a reporter did. We must defeat Islamic terrorism & have surveillance, including a watch list, to protect America"
2017,president isis gaining great strength ,"Under our President, ISIS is gaining great strength- https://instagram.com/p/-UAerUmhXV/ "
2018,family honor interviewed full hour legendary barbarajwalters tonight abc ,My family has the honor of being interviewed for a full hour by the legendary @BarbaraJWalters tonight @ABC - 10pmE.pic.twitter.com/cm4fv1Ye9L
2019,going south carolina great place sro crowd iowa amazing yesterday ,"Going to South Carolina now, great place, SRO crowd. Iowa was amazing yesterday!"
2020,media must denigrate isis levels youth continue drawn low level degenerates masterminds ,"The media must denigrate ISIS at all levels or youth will continue to be drawn to it. These are low level degenerates, NOT masterminds!"
2021,media must immediately stop calling isis leaders masterminds call instead thugs losers young people must go isis ,"The media must immediately stop calling ISIS leaders ""MASTERMINDS."" Call them instead thugs and losers. Young people must not go into ISIS!"
2022,john kasich managing director lehman brothers crashed bringing world ruining people lives total failure ,"John Kasich was managing director of Lehman Brothers when it crashed, bringing down the world and ruining people's lives. A total failure!"
2023,john kasich announced running president opened mouth people realized complete total dud ,"Once John Kasich announced he was running for president, and opened his mouth, people realized he was a complete & total dud!"
2024,john kasich fell right president obama trap obamacare people ohio suffering shame ,"John Kasich fell right into President Obama’s trap on ObamaCare, and the people of Ohio are suffering for it. Shame!"
2025,kasich already spent 6 million ads new hampshire numbers gone people nh smart ,Kasich has already spent $6 million on ads in New Hampshire and his numbers have gone down. People from NH are smart!
2026,watch kasich squirm truthful negative ads sue fun ,Watch Kasich squirm --- if he is not truthful in his negative ads I will sue him just for fun!
2027,want negative ads john kasich irrelevant race want waste money ,"I want to do negative ads on John Kasich, but he is so irrelevant to the race that I don’t want to waste my money."
2028,john kasich despite governor ohio losing ohio polls pathetic ,"John Kasich, despite being Governor of Ohio, is losing to me in the Ohio polls. Pathetic!"
